freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_hot_0,sa_hot_1,sa_hot_2,sa_hot_3,sa_hot_4,sa_cold_0,sa_cold_1,sa_cold_2,sa_cold_3,sa_cold_4,dut_hot_0,dut_hot_1,dut_hot_2,dut_hot_3,dut_hot_4,dut_cold_0,dut_cold_1,dut_cold_2,dut_cold_3,dut_cold_4
626000000.0,-0.3496767185119309,0.022534073675452567,-0.006914709556572703,0.007672714537836163,-0.003035868185261454,0.007800160182321034,-99.95117188,-99.94140625,-99.95605469,-99.97558594,-99.96582031,-101.5576172,-101.6162109,-101.5527344,-101.6015625,-101.5771484,-61.37207031,-61.38183594,-61.37695312,-61.40136719,-61.39160156,-66.45996094,-66.50390625,-66.45019531,-66.47949219,-66.44042969
628000000.0,-0.3454508984367792,0.03259906440786972,-0.0068691707166372,0.007658082316746347,-0.0038911527445986823,0.00796487043888598,-99.95117188,-99.921875,-99.98535156,-99.97070312,-99.9609375,-101.5527344,-101.5820312,-101.5869141,-101.5576172,-101.5966797,-61.34765625,-61.34765625,-61.35253906,-61.3671875,-61.34277344,-66.43554688,-66.4453125,-66.43066406,-66.42089844,-66.39160156
630000000.0,-0.34153559200941047,0.04221874510942003,-0.006814369023530754,0.007637320935109077,-0.004711767299918093,0.008261264087234111,-99.91210938,-99.921875,-99.96582031,-99.92675781,-99.90234375,-101.5429688,-101.5673828,-101.5478516,-101.5673828,-101.5771484,-61.34277344,-61.33300781,-61.31347656,-61.33300781,-61.36230469,-66.45019531,-66.44042969,-66.41601562,-66.40136719,-66.37207031
632000000.0,-0.3366224127077269,0.051191957544549,-0.006772529336744736,0.007620351440348973,-0.005482840997594751,0.0086893569783846,-99.94140625,-99.93652344,-99.94628906,-99.96582031,-99.97070312,-101.5869141,-101.5820312,-101.5527344,-101.5576172,-101.5869141,-61.29882812,-61.27929688,-61.2890625,-61.31347656,-61.27929688,-66.39160156,-66.38671875,-66.43066406,-66.37695312,-66.40136719
634000000.0,-0.33193860878997766,0.05962357112046739,-0.006724654842573877,0.007600256903994047,-0.006183370864671696,0.009236026764832398,-99.93652344,-99.921875,-99.89257812,-99.94140625,-99.95605469,-101.5722656,-101.5429688,-101.5185547,-101.5527344,-101.5039062,-61.24511719,-61.27441406,-61.27441406,-61.26464844,-61.2890625,-66.39160156,-66.41113281,-66.39160156,-66.38183594,-66.37695312
636000000.0,-0.32772336994117934,0.06963667687704761,-0.006672303581854277,0.007587519887491259,-0.006798571023575018,0.009900945776969537,-99.91699219,-99.91210938,-99.91210938,-99.92675781,-99.93652344,-101.5429688,-101.5625,-101.5673828,-101.5625,-101.5478516,-61.24511719,-61.23046875,-61.25976562,-61.25488281,-61.27441406,-66.3671875,-66.36230469,-66.38671875,-66.39160156,-66.34277344
638000000.0,-0.3216851705832536,0.07839257735476625,-0.00662266882497139,0.007563212973066197,-0.007320657801234696,0.01066603767342365,-99.89746094,-99.91210938,-99.91699219,-99.91699219,-99.90722656,-101.5136719,-101.5332031,-101.5087891,-101.5332031,-101.5478516,-61.24023438,-61.22558594,-61.19140625,-61.2109375,-61.19628906,-66.34277344,-66.38671875,-66.34277344,-66.32324219,-66.32324219
640000000.0,-0.31646758268863706,0.0871600685228625,-0.00656767121416124,0.007485569508549472,-0.007722303387148601,0.01151231426998354,-99.89257812,-99.92675781,-99.91210938,-99.93652344,-99.93164062,-101.5039062,-101.5332031,-101.5234375,-101.5087891,-101.5136719,-61.21582031,-61.20117188,-61.20117188,-61.20605469,-61.18164062,-66.34277344,-66.34765625,-66.33789062,-66.34277344,-66.35253906
642000000.0,-0.31111865710945036,0.09566427418953062,-0.006534765348788257,0.007417939705595969,-0.008003396900266357,0.012443213447501262,-99.92675781,-99.95605469,-99.93164062,-99.94628906,-99.94140625,-101.5527344,-101.5673828,-101.5380859,-101.5332031,-101.5332031,-61.18164062,-61.20117188,-61.14257812,-61.19628906,-61.17675781,-66.33789062,-66.30859375,-66.31347656,-66.31835938,-66.27441406
644000000.0,-0.30534637799416425,0.10360869442484738,-0.006496874428016872,0.0074080672195170755,-0.008160154009922746,0.013422330426161458,-99.91210938,-99.921875,-99.91210938,-99.87304688,-99.95117188,-101.5234375,-101.5087891,-101.5283203,-101.5185547,-101.5087891,-61.12304688,-61.14746094,-61.13769531,-61.1328125,-61.15722656,-66.27441406,-66.25976562,-66.26464844,-66.29882812,-66.31835938
646000000.0,-0.2998090219772161,0.11198027835230977,-0.006436115414316171,0.007452605495068697,-0.008163479713987157,0.014453394412763054,-99.93164062,-99.94140625,-99.89746094,-99.93652344,-99.96582031,-101.5283203,-101.5625,-101.5673828,-101.5283203,-101.5332031,-61.11816406,-61.11816406,-61.14257812,-61.11328125,-61.10351562,-66.25,-66.26464844,-66.28417969,-66.27929688,-66.29882812
648000000.0,-0.2933245841328184,0.11996185761458024,-0.006397091748613813,0.007465415870253589,-0.008031648401508305,0.01548753415655581,-99.89746094,-99.89257812,-99.921875,-99.94140625,-99.921875,-101.5234375,-101.4990234,-101.4941406,-101.4746094,-101.5722656,-61.07421875,-61.09863281,-61.11328125,-61.04980469,-61.08398438,-66.27441406,-66.25488281,-66.23535156,-66.20605469,-66.22558594
650000000.0,-0.2857777295893451,0.1276349817750517,-0.006345025770415186,0.007454243900866659,-0.007743407668799803,0.016538234282154788,-99.90722656,-99.87304688,-99.93164062,-99.92675781,-99.92675781,-101.5380859,-101.484375,-101.5039062,-101.5185547,-101.5136719,-61.06933594,-61.06933594,-61.07910156,-61.07421875,-61.07421875,-66.22558594,-66.23046875,-66.23535156,-66.23046875,-66.25976562
652000000.0,-0.2800093663421887,0.13530544825850785,-0.006304187610012017,0.007440740322044008,-0.0073126080623804645,0.017571302237633587,-99.90234375,-99.90722656,-99.91210938,-99.91699219,-99.9609375,-101.5087891,-101.5429688,-101.5136719,-101.4990234,-101.5185547,-61.06445312,-61.06445312,-61.07910156,-61.03515625,-61.04980469,-66.22070312,-66.22070312,-66.25,-66.20117188,-66.20605469
654000000.0,-0.2736054547068234,0.14153479718720013,-0.006263738327632467,0.007425709046687615,-0.006738148894120747,0.018572456195016854,-99.84863281,-99.84375,-99.85351562,-99.87792969,-99.84863281,-101.4648438,-101.4599609,-101.5087891,-101.4941406,-101.4941406,-61.02050781,-61.03515625,-61.00585938,-61.04003906,-61.04003906,-66.18652344,-66.18164062,-66.19628906,-66.2109375,-66.18164062
656000000.0,-0.2666280706383947,0.14884598111015954,-0.006214901102272863,0.007404454729484663,-0.006018662225585937,0.01951376146369608,-99.8828125,-99.90722656,-99.89746094,-99.91210938,-99.90722656,-101.5185547,-101.5087891,-101.5234375,-101.5087891,-101.5332031,-60.99609375,-61.01074219,-60.96679688,-61.01074219,-61.00097656,-66.20605469,-66.171875,-66.14746094,-66.19140625,-66.15234375
658000000.0,-0.26002418615180584,0.15513583112608845,-0.00617473205124825,0.007381990025291319,-0.005165834949010055,0.02038669086670775,-99.8828125,-99.90722656,-99.90234375,-99.91699219,-99.92675781,-101.4892578,-101.4990234,-101.5087891,-101.4941406,-101.5039062,-60.94726562,-61.00097656,-60.96679688,-60.95214844,-60.94238281,-66.15234375,-66.15234375,-66.13769531,-66.12792969,-66.14257812
660000000.0,-0.25282759315348013,0.16269386361577265,-0.006123648966691317,0.007364176374660187,-0.0041847030892218345,0.021172887684039837,-99.85839844,-99.89257812,-99.87792969,-99.87792969,-99.90722656,-101.4990234,-101.4892578,-101.4746094,-101.484375,-101.5234375,-60.92773438,-60.92285156,-60.92773438,-60.91796875,-60.93261719,-66.14746094,-66.15722656,-66.1328125,-66.12792969,-66.12304688
662000000.0,-0.2447103208735015,0.16956977967603515,-0.006075946101755086,0.007343252325079857,-0.0030880692085810935,0.021862018815517324,-99.89746094,-99.86816406,-99.90722656,-99.91210938,-99.91699219,-101.484375,-101.5039062,-101.5039062,-101.5087891,-101.4746094,-60.8984375,-60.93261719,-60.92285156,-60.90820312,-60.92285156,-66.11328125,-66.11328125,-66.14257812,-66.09863281,-66.10839844
